target_formula,precursor_formulas
(Na0.52K0.44Li0.04)Nb0.87Sb0.08Ta0.05O3,"[['Ta2O5', 'Li2CO3', 'Na2CO3', 'K2CO3', 'Nb2O5', 'Sb2O3']]"
(Na0.535K0.485)0.926Li0.074(Nb0.942Ta0.058)O3,"[['Ta2O5', 'Li2CO3', 'Na2CO3', 'Nb2O5', 'K2CO3']]"
(Na0.53K0.47)NbO3,"[['K2CO3', 'Nb2O5', 'Na2CO3']]"
(Na0.5Bi0.5)0.94Ba0.06TiO3,"[['Bi2O3', 'Na2CO3', 'TiO2', 'BaCO3']]"
(Na0.5Bi0.5)ZrO3,"[['Bi2O3', 'ZrO2', 'Na2CO3']]"
(Na0.5K0.5)(Nb0.97Sb0.03)O3,"[['Na2CO3', 'K2CO3', 'Nb2O5', 'Sb2O5']]"
(Na0.5K0.5)(Nb0.995Mn0.005)O3,"[['Na2CO3', 'K2CO3', 'MnO', 'Nb2O5']]"
(Na0.5K0.5)NbO3,"[['Na2CO3', 'Nb2O5', 'K2CO3'], ['Na2CO3', 'K2CO3', 'Nb2O5'], ['Na2CO3', 'K2CO3', 'Nb2O5']]"
(Na0.5Nd0.5)TiO3,"[['Na2CO3', 'Nd2O3', 'TiO2']]"
(Na0.5Pb0.5)(Mn0.5Nb0.5)O3,"[['PbO', 'Nb2O5', 'MnO', 'Na2CO3']]"
(Na0.82K0.18)0.5Bi0.5TiO3,"[['Bi2O3', 'Na2CO3', 'K2CO3', 'TiO2'], ['Bi2O3', 'Na2CO3', 'K2CO3', 'TiO2'], ['Bi2O3', 'Na2CO3', 'K2CO3', 'TiO2']]"
(Na0.85K0.15)0.5Bi0.5TiO3,"[['Bi2O3', 'Na2CO3', 'K2CO3', 'TiO2']]"
(NaBi)(NbCr)O6,"[['Nb2O5', 'Cr2O3', 'Bi2O3', 'Na2CO3']]"
(NaBi)0.5MoO4,"[['Bi2O3', 'MoO3', 'Na2CO3']]"
(Nd0.15Sr0.85)(Al0.575Nb0.425)O3,"[['SrCO3', 'Al2O3', 'Nd2O3', 'Nb2O5']]"
(Nd0.33Eu0.33Gd0.33)Ba2Cu3O,"[['Gd2O3', 'CuO', 'Nd2O3', 'BaCO3', 'Eu2O3'], ['Gd2O3', 'CuO', 'Nd2O3', 'BaCO3', 'Eu2O3'], ['Gd2O3', 'CuO', 'Nd2O3', 'BaCO3', 'Eu2O3'], ['Gd2O3', 'CuO', 'Nd2O3', 'BaCO3', 'Eu2O3']]"
(Nd0.33Eu0.33Gd0.33)Ba2Cu3O7,"[['Gd2O3', 'CuO', 'Nd2O3', 'BaCO3', 'Eu2O3']]"
(Nd0.33Eu0.38Gd0.28)Ba2Cu3O,"[['Gd2O3', 'CuO', 'Nd2O3', 'BaCO3', 'Eu2O3'], ['Gd2O3', 'CuO', 'Nd2O3', 'BaCO3', 'Eu2O3']]"
(Nd0.33Sm0.33Gd0.33)Ba2Cu3O,"[['Gd2O3', 'CuO', 'Nd2O3', 'Sm2O3', 'BaCO3']]"
(Nd0.925Ce0.075)2Cu5.7O,"[['CuO', 'Nd2O3', 'CeO2']]"
(Nd0.925Ce0.075)2CuO4,"[['CuO', 'Nd2O3', 'CeO2']]"
(Ni0.20Zn0.60Cu0.20)Fe1.98O4,"[['NiO', 'ZnO', 'CuO', 'Fe2O3']]"
(Ni0.2Cu0.2Zn0.6)1.02(Fe2O3)0.98,"[['NiO', 'ZnO', 'CuO', 'Fe2O3']]"
(Ni0.30Cu0.07Zn0.63)Fe1.93O4,"[['NiO', 'CuO', 'ZnO', 'Fe2O3']]"
(Ni0.6Zn0.4)O,"[['ZnO', 'NiO']]"
(Ni0.76Zn0.24)O(Fe2O3)0.575,"[['NiO', 'ZnO', 'Fe2O3']]"
(Ni0.8Cu0.12Zn0.12)Fe1.96O4,"[['NiO', 'ZnO', 'CuO', 'Fe2O3'], ['NiO', 'CuO', 'ZnO', 'Fe2O3']]"
(Ni0.8Zn0.1Cu0.1)Fe2O4,"[['NiO', 'ZnO', 'CuO', 'Fe2O3']]"
(NiCuZn)Fe2O4,"[['NiO', 'ZnO', 'CuO', 'Fe2O3']]"
(NiO)0.21(CuO)0.14(ZnO)0.65(Fe2O3)0.98,"[['NiO', 'ZnO', 'CuO', 'Fe2O3']]"
(NiO)0.29(CuO)0.08(ZnO)0.62(Fe2O3)1.01,"[['NiO', 'CuO', 'ZnO', 'Fe2O3']]"
(NiO)0.4(ZnO)0.4(CuO)0.2(Fe2O3)0.95,"[['NiO', 'ZnO', 'CuO', 'Fe2O3']]"
(P2O5)15Na2O,"[['NH4(H2PO4)', 'Na2CO3'], ['NH4(H2PO4)', 'Na2CO3']]"
(Pb0.25Sr0.75)TiO3,"[['SrCO3', 'PbO', 'TiO2']]"
(Pb0.45Ca0.55)((Fe0.5Nb0.5)0.9Sn0.1)O3,"[['SnO2', 'CaCO3', 'Fe2O3', 'PbO', 'Nb2O5'], ['SnO2', 'CaCO3', 'Fe2O3', 'PbO', 'Nb2O5']]"
(Pb0.48Ca0.52)(Fe0.5Nb0.5)O3,"[['CaCO3', 'Fe2O3', 'PbO', 'Nb2O5']]"
(Pb0.78Sr0.1Sm0.08)(Ti0.98Mn0.02)O3,"[['SrCO3', 'PbO', 'Sm2O3', 'MnO2', 'TiO2']]"
(Pb0.85Sm0.1)(Ti0.98Mn0.02)O3,"[['PbO', 'Sm2O3', 'MnO2', 'TiO2'], ['PbO', 'Sm2O3', 'MnO2', 'TiO2']]"
(Pb0.87Ba0.1La0.02)(Zr0.68Sn0.24Ti0.08)O3,"[['La2O3', 'ZrO2', 'PbO', 'TiO2', 'BaCO3', 'SnO2']]"
(Pb0.90Ba0.10)ZrO3,"[['PbO', 'BaCO3', 'ZrO2']]"
(Pb0.90La0.10)Ti0.975O3,"[['PbO', 'TiO2', 'La2O3']]"
(Pb0.92La0.08)(Zr0.65Ti0.35)0.98O3,"[['PbO', 'TiO2', 'La2O3', 'ZrO2'], ['PbO', 'TiO2', 'La2O3', 'ZrO2'], ['PbO', 'TiO2', 'La2O3', 'ZrO2'], ['PbO', 'TiO2', 'La2O3', 'ZrO2']]"
(Pb0.93La0.07)(Zr0.60Ti0.40)0.9825O3,"[['PbO', 'TiO2', 'La2O3', 'ZrO2'], ['PbO', 'TiO2', 'La2O3', 'ZrO2']]"
(Pb0.95Sr0.05)((Zr0.52Ti0.48)0.98Nb0.02)O3,"[['SrCO3', 'PbO', 'Nb2O5', 'TiO2', 'ZrO2']]"
(Pb0.97La0.02)(Zr0.66Sn0.27Ti0.07)O3,"[['La2O3', 'SnO2', 'PbO', 'TiO2', 'ZrO2']]"
(Pb0.97La0.02)(Zr0.75Sn0.15Ti0.10)O3,"[['La2O3', 'SnO2', 'PbO', 'TiO2', 'ZrO2']]"
(Pb0.98Ba0.01)((Zr0.53Ti0.47)0.98Nb0.02)O3,"[['PbO', 'Nb2O5', 'TiO2', 'BaCO3', 'ZrO2'], ['PbO', 'Nb2O5', 'TiO2', 'BaCO3', 'ZrO2']]"
(Pb0.98La0.02)(Zr0.95Ti0.05)O3,"[['PbO', 'TiO2', 'La2O3', 'ZrO2']]"
(Pb3O)2(BO3)2CrO4,"[['PbO', 'CrO3', 'B2O3'], ['PbO', 'CrO3', 'B2O3']]"
(Pb3O)2(BO3)2WO4,"[['PbO', 'WO3', 'B2O3']]"
(Pb40Sr60)(Ti0.995Mn0.005)O3,"[['SrTiO3', 'MnCO3', 'PbO', 'PbTiO3']]"
(PbO)0.25(SiO2)0.75,"[['PbO', 'SiO2'], ['PbO', 'SiO2']]"
(PbO)3(MgO)(Nb2O5),"[['(MgCO3)4', 'Nb2O5', 'Pb3O4'], ['PbO', 'MgO', 'Nb2O5']]"
(PbS)0.59TiS2,"[['TiS2', 'Pb', 'S'], ['TiS2', 'Pb', 'S']]"
(PbS)1.18(TiS2)2,"[['TiS2', 'Pb', 'S'], ['TiS2', 'Pb', 'S']]"
(PbS)1.18TiS2,"[['TiS2', 'Pb', 'S'], ['TiS2', 'Pb', 'S']]"
(Pr0.1)Cu2O7,"[['Pr6O11', 'CuO']]"
(Pr0.7Ca0.3)MnO3,"[['MnO', 'CaCO3', 'Pr6O11']]"
(Pr0.7Sm0.3)0.7Ca0.3CoO3,"[['CaO', 'Sm2O3', 'Pr6O11', 'Co3O4'], ['CaO', 'Sm2O3', 'Pr6O11', 'Co3O4'], ['CaO', 'Sm2O3', 'Pr6O11', 'Co3O4'], ['Sm2O3', 'Pr6O11', 'Co3O4', 'CaCO3']]"
(Pu0.8Am0.2)O2,"[['PuO2', 'AmO2']]"
(Pu0.91Am0.09)17O2,[['(Pu0.91Am0.09)16O2']]
(Pu0.9Am0.1)O2,"[['PuO2', 'AmO2']]"
(Rb3In(PO4)2)2,"[['In2O3', 'Rb2CO3', 'NH4H2PO4']]"
(Sc2O3)0.08(ZrO2)0.92,"[['Sc2O3', 'ZrO2'], ['Sc2O3', 'ZrO2']]"
(Sm0.33Eu0.33Gd0.33)2BaCuO5,"[['Gd2O3', 'CuO', 'Sm2O3', 'BaCO3', 'Eu2O3']]"
(Sm0.33Eu0.33Gd0.33)Ba2Cu3O,"[['Gd2O3', 'CuO', 'Sm2O3', 'BaCO3', 'Eu2O3'], ['Gd2O3', 'CuO', 'Sm2O3', 'BaCO3', 'Eu2O3'], ['Gd2O3', 'CuO', 'Sm2O3', 'BaCO3', 'Eu2O3']]"
(Sm0.50Ca0.50)MnO3,"[['Sm2O3', 'CaCO3', 'MnO2'], ['Sm2O3', 'CaCO3', 'MnO2']]"
(Sm0.5Eu0.5)Ba2Cu3O7,"[['SmBa2Cu3O7', 'Sm2O3', 'Eu2O3']]"
(Sm0.5Gd0.5)2BaCuO5,"[['Gd2O3', 'CuO', 'Sm2O3', 'BaCO3']]"
(Sm0.5Gd0.5)Ba2Cu3O,"[['Gd2O3', 'CuO', 'Sm2O3', 'BaCO3']]"
(Sm0.5Sr0.5)CoO3,"[['SrCO3', 'Sm2O3', 'Co3O4']]"
(Sm0.65Sr0.35)MnO3,"[['SrCO3', 'Sm2O3', 'MnO2']]"
(SmEu)BaCuO5,"[['Sm2O3', 'BaCuO2', 'Eu2O3']]"
(SmO1.5)0.2(CeO2)0.8,"[['Ce(NO3)3', 'Sm(NO3)3'], ['CeO2', 'Sm2O3'], ['CeO2', 'Sm2O3']]"
(Sn0.25Ti0.75)O2,"[['TiO2', 'SnO2']]"
(Sr0.4Eu0.4)MoO4,"[['SrCO3', 'Eu2O3', '(NH4)6Mo7O24']]"
(Sr0.75La0.25)4Fe3O10,"[['SrCO3', 'La2O3', 'Fe2O3']]"
(Sr0.94)0.9(Ti0.9Nb0.1)0.9Ni0.1O3,"[['SrCO3', 'NiO', 'Nb2O5', 'TiO2']]"
(Sr0.95Eu0.02Dy0.03)3Al2O6,"[['Dy2O3', 'Sr(NO3)2', 'Al(NO3)3', 'Eu2O3']]"
(Sr0.97Ba0.02Eu0.01)2SiO4,"[['SiO2', 'BaCO3', 'SrCO3', 'Eu2O3']]"
(Sr0.99Eu0.01)2SiO4,"[['SiO2', 'SrCO3', 'Eu2O3']]"
(Sr2O2)(CrO2)1.85,"[['SrO', 'CrO2']]"
(SrBi2Nb2O9)0.35(Bi3TiNbO9)0.65,"[['TiO2', 'Nb2O5', 'Bi2O3', 'SrCO3']]"
(Ta2O5)0.92(TiO2)0.08,"[['TiO2', 'Ta2O5'], ['TiO2', 'Ta2O5']]"
(Ti0.9W0.1)C,"[['C', 'W', 'Ti']]"
(Ti66Nb13Cu8Ni6.8Al6.2)1B0.79C0.65,"[['Al', 'Ni', 'C', 'B4C', 'Nb', 'Cu', 'Ti']]"
(Tm0.50Ca0.50)MnO3,"[['CaO', 'Tm2O3', 'MnO2'], ['CaO', 'Tm2O3', 'MnO2']]"
(U0.67Pu0.3Am0.03)O2,"[['PuO2', 'Am', 'UO2']]"
(U0.80La0.20)O2,"[['La2O3', 'UO2']]"
(V0.5Cr0.5)3AlC2,"[['Al', 'Cr', 'C', 'V'], ['Al', 'Cr', 'C', 'V'], ['Al', 'Cr', 'C', 'V']]"
(V0.5Cr0.5)4AlC3,"[['Al', 'Cr', 'C', 'V'], ['Al', 'Cr', 'C', 'V'], ['Al', 'Cr', 'C', 'V']]"
(V0.5Cr0.5)5Al2C3,"[['Al', 'Cr', 'C', 'V'], ['Al', 'Cr', 'C', 'V'], ['Al', 'Cr', 'C', 'V']]"
(W0.4Al0.6)C0.5,"[['C', 'W', 'Al']]"
(W0.5Al0.5)C,"[['C', 'W0.5Al0.5']]"
(W0.5Al0.5)C0.5,"[['C', 'W', 'Al']]"
(W0.67Al0.33)C0.67,"[['C', 'W', 'Al']]"
(W0.8Al0.2)C0.8,"[['C', 'W0.8Al0.2']]"
(WAl)C,"[['C', 'W', 'Al']]"
(Y0.05La0.95)2(Zr0.7Ce0.3)2O7,"[['CeO2', 'La2O3', 'ZrO2', 'Y2O3']]"
(Y0.5Tb2.45Ce0.05)Al5O12,"[['Ce(NO3)3', 'Al(NO3)3', 'Tb4O7', 'Y(NO3)3']]"
(Y0.74Ca0.26)Ba2Cu3O7,"[['CaCO3', 'Y2O3', 'BaCO3', 'CuO']]"
(Y0.84La0.16)(Ba1.74La0.26)Cu3O7,"[['La2O3', 'Y2O3', 'BaCO3', 'CuO']]"
(Y0.92Er0.08)BO3,"[['H3BO3', 'Y2O3', 'Er2O3']]"
(Y0.945Yb0.05Ho0.005)2O2S,"[['Y2O3', 'Ho2O3', 'Yb2O3', 'S']]"
(Y0.95Tb0.05)2Zr2O7,"[['Y2O3', 'Tb4O7', 'ZrO2']]"
(Y0.98Er0.01Yb0.01)2O3,"[['Yb2O3', 'Y2O3', 'Er2O3']]"
(Y0.992Ce0.008)3Al5O12,"[['CeO2', 'Al2O3', 'Y2O3'], ['CeO2', 'Al2O3', 'Y2O3']]"
(Y0.995Ce0.005)Ba3B9O18,"[['BaCO3', 'CeO2', 'Y2O3', 'H3BO3']]"
(Y0.999Ce0.001)2O2(SO4),"[['(NH4)2(HSO4)2', 'CeO2', 'Y2O3']]"
(Y0.9Ca0.1)BaCo2O5.5,"[['Y2O3', 'CaCO3', 'BaCO3', 'Co(NO3)2']]"
(Y0.9Eu0.1)VO4,"[['V2O5', 'Y2O3', 'Eu2O3']]"
(Y0.9Sc0.1)2O3,"[['Sc2O3', 'Y2O3']]"
(Y1.84Eu0.16)O3,"[['Eu2O3', 'Y2O3']]"
(Y1.94Bi0.06)O3,"[['Bi2O3', 'Y2O3']]"
(Y2.7Tb0.3)Al5O12,"[['Y(NO3)3', 'Tb(NO3)3', 'Al(NO3)3']]"
(Y2O3)0.1(ZrO2)0.9,"[['Y2O3', 'ZrO2']]"
(Zn0.65Mg0.35)TiO3,"[['ZnO', 'MgCO3', 'TiO2'], ['ZnO', 'MgCO3', 'TiO2']]"
(Zn0.7Mg0.3)TiO3,"[['Zn5(CO3)2', 'Mg(OH)2', 'TiO2']]"
(Zn0.95Ni0.05)3Nb2O8,"[['ZnO', 'Nb2O5', 'NiO']]"
(Zn0.97Ni0.03)O,"[['ZnO', 'NiO']]"
(Zn0.995Ag0.005)4Sb3,"[['Sb', 'Zn', 'Ag']]"
(Zn0.995Cu0.005)4Sb3,"[['Cu', 'Sb', 'Zn']]"
(Zn0.9975Ag0.0025)4Sb3,"[['Sb', 'Zn', 'Ag']]"
(Zn0.9975Cu0.0025)4Sb3,"[['Cu', 'Sb', 'Zn']]"
(Zn0.99Ag0.01)4Sb3,"[['Sb', 'Zn', 'Ag']]"
(Zn0.99Cu0.01)4Sb3,"[['Cu', 'Sb', 'Zn']]"
(Zn0.9Y0.1)Nb2O6,"[['Y2O3', 'ZnO', 'Nb2O5']]"
(ZnMg)TiO3,"[['TiO2', 'MgO', 'ZnO']]"
(ZnO)0.98(MnO2)0.02,"[['ZnO', 'MnO2']]"
(ZnO)7In2O3,"[['In2O3', 'ZnO']]"
(Zr0.53Ti0.47)O2,"[['ZrO2', 'TiO2']]"
(Zr0.73Y0.14Er0.05Ce0.08)O2,"[['CeO2', 'Y2O3', 'Er2O3', 'ZrO2']]"
(Zr0.8Sn0.2)TiO4,"[['SnO2', 'TiO2', 'ZrO2'], ['SnO2', 'TiO2', 'ZrO2'], ['SnO2', 'TiO2', 'ZrO2'], ['SnO2', 'TiO2', 'ZrO2'], ['SnO2', 'TiO2', 'ZrO2'], ['TiO2', 'ZrO2', 'SnO2']]"
(ZrO2)0.5(Al2O3)0.5,"[['ZrO2', 'Al2O3']]"
(ZrO2)0.86(Y2O3)0.02(TiO2)0.12,"[['ZrO2', 'Y2O3', 'TiO2']]"
(ZrO2)0.92(Y2O3)0.08,"[['Y2O3', 'ZrO2'], ['Y2O3', 'ZrO2'], ['Y2O3', 'ZrO2']]"
(ZrTi)O2,"[['TiO2', 'ZrO2'], ['TiO2', 'ZrO2']]"
Ag(Nb0.6Ta0.4)O3,"[['Ag2O', 'Nb2O5', 'Ta2O5']]"
Ag(Nb0.8Ta0.2)O3,"[['Ag2O', 'Nb2O5', 'Ta2O5']]"
Ag0.365Sb0.558Te,"[['Sb', 'Te', 'Ag']]"
Ag0.5Bi1.5Se0.15Te2.85,"[['Bi', 'Te', 'Ag', 'Se']]"
Ag0.70Fe0.30,"[['Fe', 'Ag']]"
Ag0.7Na0.3NbO3,"[['Ag2O', 'Na2CO3', 'Nb2O5']]"
Ag0.85Fe0.15,"[['Fe', 'Ag']]"
Ag0.97NbO3,"[['Ag2O', 'Nb2O5'], ['Ag2O', 'Nb2O5']]"
Ag1.2V3O8,"[['Ag2O', 'V2O5']]"
Ag1.75InSb5.75Se11,"[['Sb2Se3', 'In2Se3', 'Ag2Se']]"
Ag10Te4Br3,"[['Ag', 'AgBr', 'Te']]"
Ag2.6Sc1.8Nb0.2(PO4)3,"[['Ag2O', 'Nb2O5', 'Sc2O3', '(NH4)2HPO4']]"
Ag2CdI4,"[['CdI2', 'AgI']]"
Ag2CrO4,"[['Cr', 'Ag']]"
Ag2Cu2O3,"[['Ag', 'Cu']]"
Ag2GeO3,"[['GeO2', 'AgNO3']]"
Ag2Mn8O16,"[['MnO2', 'AgNO3']]"
Ag2MnO2,"[['Ag', 'MnO2']]"
Ag2MoO4,"[['MoO3', 'Ag2CO3']]"
Ag2Nb4O11,"[['Ag2O', 'Nb2O5']]"
Ag2NiO2,"[['NiO', 'Ag2O']]"
Ag2PO3.5(Ag4P2O7),"[['Ag4P2O7'], ['Ag4P2O7']]"
Ag2Ta4O11,"[['Ag2O', 'Ta2O5'], ['Ag2O', 'Ta2O5']]"
Ag2Te,"[['Ag', 'Te']]"
Ag2TeO3,"[['TeO2', 'AgNO3']]"
Ag2V4O11,"[['Ag2O', 'V2O5'], ['NH4VO3', 'Ag2CO3'], ['NH4VO3', 'Ag2CO3'], ['Ag2O', 'V2O5']]"
Ag2WO4,"[['Ag2O', 'WO3']]"
Ag2ZnGeO4,"[['ZnO', 'AgNO3', 'GeO2']]"
Ag2ZnGeS4,"[['Ag2S', 'ZnS', 'GeS2']]"
Ag3Ga3SiSe8,"[['AgGaSe2', 'SiSe2'], ['AgGaSe2', 'SiSe2']]"
Ag3MoO3F3,"[['AgF', 'MoO3'], ['AgF', 'MoO3']]"
Ag3VO4,"[['Ag2O', 'V2O5'], ['Ag2O', 'V2O5'], ['Ag2O', 'V2O5']]"
Ag4.64Pb2O5.87,"[['PbO', 'Ag2O']]"
Ag4V2O7,"[['Ag2O', 'V2O5'], ['Ag2O', 'V2O5'], ['Ag2O', 'V2O5']]"
Ag5Dy7Sb,"[['Ag', 'Dy', 'Sb']]"
Ag5Pb2O6,"[['PbO', 'Ag2O']]"
Ag8SiS6,"[['Ag2S', 'SiS2'], ['Ag2S', 'SiS2']]"
Ag9FeS4.1Te1.9,"[['Ag', 'Fe', 'Te', 'S']]"
Ag9FeS4Te2,"[['Ag', 'Fe', 'Te', 'S']]"
AgAlO2,"[['AgNO3', 'Al2O3'], ['Al2O3', 'AgNO3']]"
AgBi3S5,"[['Bi2S3', 'Ag2S']]"
AgBiS2,"[['Bi2S3', 'Ag2S']]"
AgBiTa2O7,"[['Ag2O', 'Ta2O5', 'Bi2O3']]"
AgBiW2O8,"[['Ag2O', 'WO3', 'Bi2O3']]"
AgCoO2,"[['Co3O4', 'AgNO3']]"
AgCuF3,"[['AgF', 'CuF2'], ['AgF', 'CuF2']]"
AgDySb2,"[['Ag', 'Dy', 'Sb']]"
AgGaO2,"[['AgNO3', 'Ga2O3']]"
AgGaS2,"[['Ag2S', 'Ga2S3'], ['Ag2S', 'Ga2S3'], ['Ag2S', 'Ga2S3']]"
AgGaSe2,"[['Ga2Se3', 'Ag', 'Se'], ['Se', 'Ga', 'Ag']]"
AgInS2,"[['Ag2S', 'In2S3']]"
AgMnVO4,"[['Ag2O', 'MnO', 'V2O5']]"
AgNb7O18,"[['Ag2O', 'Nb2O5']]"
AgNbO3,"[['Ag2O', 'Nb2O5'], ['Ag2O', 'Nb2O5']]"
AgNd(WO4)2,"[['Nd2O3', 'WO2', 'Ag2CO3']]"
AgPd3Se,"[['Ag', 'Se', 'Pd']]"
AgSbO3,"[['Ag2O', 'Sb2O5'], ['Ag2O', 'Sb2O5'], ['Ag2O', 'Sb2O5']]"
AgSbTe2,"[['Sb', 'Te', 'Ag'], ['Sb', 'Te', 'Ag']]"
AgTaO3,"[['Ag2O', 'Ta2O5'], ['Ag2O', 'Ta2O5']]"
AgTlTeO3,"[['Tl2TeO3', 'Ag2TeO3']]"
AgVO3,"[['Ag2O', 'V2O5'], ['Ag2O', 'V2O5']]"
Al0.5Fe2.5O4,"[['Al2O3', 'Fe2O3']]"
Al0.5Ga0.5FeO3,"[['Al', 'Ga2O3', 'Fe2O3'], ['Fe2O3', 'Al2O3', 'Ga2O3']]"
Al0.6CoNiFe,"[['Fe', 'Al', 'Ni', 'Co']]"
Al1.8Mg0.1Ti1.1O5,"[['TiO2', 'MgO', 'Al2O3']]"
Al1.997Ca0.003O3,"[['CaCO3', 'Al2O3']]"
Al2(MoO4)3,"[['Al(OH)3', 'MoO3']]"
Al2(WO4)3,"[['WO3', 'Al2O3'], ['WO3', 'Al2O3'], ['WO3', 'Al(OH)3'], ['WO3', 'Al2O3']]"
Al2.61Mn0.18Mg0.18O3.45N0.55,"[['AlN', 'MgO', 'Al2O3', 'MnCO3']]"
Al2Mo3O12,"[['Al2O3', 'MoO3']]"
Al2NiO4,"[['Ni2O3', 'Al2O3']]"
Al2O3TiO2,"[['TiO2', 'Al2O3']]"
Al2TiO5,"[['Al2O3', 'TiO2'], ['Al2O3', 'TiO2'], ['TiO2', 'Al2O3'], ['TiO2', 'Al2O3'], ['Al2O3', 'TiO2'], ['Al2O3', 'TiO2'], ['TiO2', 'Al2O3'], ['TiO2', 'Al2O3'], ['TiO2', 'Al2O3'], ['TiO2', 'Al2O3'], ['TiO2', 'Al2O3'], ['TiO2', 'Al2O3'], ['TiO2', 'Al2O3']]"
Al3Gd,"[['Al', 'Gd'], ['Al', 'Gd']]"
Al3Ti,"[['Al', 'Ti'], ['Al', 'Ti'], ['Ti', 'Al']]"
Al3Y,"[['Al', 'Y']]"
Al4Cu,"[['Al', 'Cu']]"
Al4SiC4,"[['SiC', 'Al4C3']]"
Al50Ti40Si10,"[['Si', 'Al', 'Ti']]"
Al6Si2O13,"[['SiO2', 'Al2O3'], ['SiO2', 'Al2O3'], ['SiO2', 'Al2O3'], ['SiO2', 'Al(NO3)3'], ['SiO2', 'Al2O3'], ['Al2O3', 'SiO2'], ['Al2O3', 'SiO2']]"
Al6Ti2O13,"[['Al2O3', 'TiO2']]"
Al70Cu20Fe10,"[['Fe', 'Cu', 'Al']]"
Al86Ni8La6,"[['La', 'Al', 'Ni']]"
Al86Ni8Y6,"[['Y', 'Al', 'Ni']]"
Al87Gd5Ni4Fe4,"[['Al', 'Fe', 'Ni', 'Gd'], ['Al', 'Fe', 'Ni', 'Gd']]"
Al87Gd5Ni8,"[['Al', 'Ni', 'Gd'], ['Al', 'Ni', 'Gd']]"
Al87Y4Gd1Ni4Fe4,"[['Al', 'Fe', 'Ni', 'Y', 'Gd'], ['Al', 'Fe', 'Ni', 'Y', 'Gd']]"
Al87Y4Gd1Ni8,"[['Al', 'Ni', 'Y', 'Gd'], ['Al', 'Ni', 'Y', 'Gd']]"
Al87Y5Ni8,"[['Al', 'Ni', 'Y'], ['Al', 'Ni', 'Y']]"
AlCNi3,"[['C', 'Al', 'Ni']]"
AlCrCuFeNiZn,"[['Fe', 'Al', 'Ni', 'Cr', 'Zn', 'Cu']]"
AlFeO3,"[['Al', 'Fe2O3'], ['Fe2O3', 'Al2O3']]"
AlFeSi,"[['Si', 'Fe', 'Al'], ['Si', 'Fe', 'Al']]"
AlMg0.5Ti1.5O5,"[['TiO2', 'MgO', 'Al2O3']]"
AlMgB14,"[['Al', 'Mg', 'B'], ['Al', 'Mg', 'B']]"
AlNbO4,"[['Nb2O5', 'Al(OH)3'], ['Nb2O5', 'Al(OH)3']]"
AlPO,"[['Al(OH)3', 'P2O5']]"
AlPO4,"[['Al2O3', '(NH4)H2PO4'], ['Al(NO3)3', 'H3PO4']]"
AlSb,"[['Al', 'Sb']]"
AlTiTaO6,"[['TiO2', 'Ta2O5', 'Al2O3']]"
Am2Zr2O7,"[['ZrO2', 'AmO2']]"
As4S4,[['AsS']]
AuSn,"[['Au', 'Sn']]"
Ba(Bi0.5Nb0.5)O3,"[['BaCO3', 'Nb2O5', 'Bi2O3']]"
Ba(Ce0.51Zr0.30Y0.15Zn0.04)O3,"[['Y2O3', 'CeO2', 'ZrO2', 'ZnO', 'BaCO3']]"
Ba(Ce0.75Zr0.25)0.9Nd0.1O2.95,"[['Nd2O3', 'CeO2', 'ZrO2', 'BaCO3']]"
Ba(Ce0.8Y0.2)O3,"[['CeO2', 'Y2O3', 'BaCO3'], ['CeO2', 'Y2O3', 'BaCO3']]"
Ba(Ce0.8Zr0.2)O3,"[['BaCO3', 'CeO2', 'ZrO2']]"
Ba(Cu0.5W0.5)O3,"[['CuO', 'WO3', 'BaCO3'], ['CuO', 'WO3', 'BaCO3']]"
Ba(Fe0.5Nb0.5)O3,"[['Fe2O5', 'Nb2O5', 'Ba2CO3'], ['BaCO3', 'Nb2O5', 'Fe2O3'], ['Fe2O3', 'Nb2O5', 'BaCO3']]"
Ba(Fe0.92Co0.08)2As2,"[['CoAs', 'FeAs', 'Ba']]"
Ba(FeNb)0.5O3,"[['BaCO3', 'Nb2O5', 'Fe2O3']]"
Ba(Ni0.5Nb0.5)O3,"[['Ni2O3', 'BaO2', 'Nb2O5']]"
Ba(PO3)2,[['Ba(H2PO4)2']]
Ba(Sn0.1Ti0.9)O3,"[['SnO2', 'BaCO3', 'TiO2'], ['SnO2', 'BaCO3', 'TiO2']]"
Ba(Ti0.70Hf0.30)O3,"[['TiO2', 'BaCO3', 'HfO2']]"
Ba(Ti0.75Sn0.25)O3,"[['TiO2', 'BaCO3', 'SnO2']]"
Ba(Ti0.77Hf0.23)O3,"[['TiO2', 'BaCO3', 'HfO2']]"
Ba(Ti0.78Hf0.22)O3,"[['TiO2', 'BaCO3', 'HfO2']]"
Ba(Ti0.7Hf0.3)O3,"[['TiO2', 'BaCO3', 'HfO2']]"
Ba(Ti0.80Hf0.20)O3,"[['TiO2', 'BaCO3', 'HfO2']]"
Ba(Ti0.85Sn0.15)O3,"[['TiO2', 'BaCO3', 'SnO2']]"
Ba(Ti0.87Sn0.13)O3,"[['TiO2', 'BaCO3', 'SnO2']]"
Ba(Ti0.8Fe0.2)O3,"[['TiO2', 'BaCO3', 'Fe2O3']]"
Ba(Ti0.8Zr0.2)O3,"[['Ba(OH)2', 'ZrO2', 'TiO2']]"
